"RSS" "Df" "AIC" "BIC" "AICc" "Lambda"
"75" 1.14234073183709 676 1470.44450200481 4695.81984918256 2466.42273921918 0.009331
"76" 1.1434433762567 683 1485.28868841645 4744.08360279871 2501.98509755682 0.008907
"77" 1.1444806428465 699 1518.08207868701 4853.26457525098 2582.93517988396 0.008502
"78" 1.14466525245222 706 1532.22320853433 4900.8252723028 2618.49524335478 0.008116
"79" 1.14473428484514 710 1540.2759763827 4927.97493569661 2638.88315810196 0.007747
"80" 1.14455251884913 720 1560.13702896328 4995.57822714076 2689.88675692846 0.007395
"81" 1.14430009663404 729 1577.94403319099 5056.35324634569 2736.09419641188 0.007059
"82" 1.14327342551257 740 1599.15862692281 5130.08430282745 2792.49921451803 0.006738
"83" 1.14336981503965 762 1643.2323951738 5279.1909965783 2908.53380975486 0.006432
"84" 1.14379097298949 772 1663.55464030165 5347.25548056973 2962.26193083484 0.006139
"85" 1.14480053886174 784 1688.32661746834 5429.31814437271 3027.69549668488 0.00586
"86" 1.14541081992695 798 1716.79294643195 5524.62360774533 3104.39251117624 0.005594
"87" 1.1463423825416 804 1729.50429469741 5565.98029932893 3138.03530666694 0.00534
"88" 1.14698011408434 805 1731.99093808498 5573.24116660286 3144.025758542 0.005097
"89" 1.14775430432231 815 1752.58134757071 5641.57381495217 3199.8936435446 0.004865
"90" 1.14855463900505 826 1775.19127671617 5716.70020684756 3261.81151610681 0.004644
"91" 1.14882300641568 833 1789.39570238892 5764.32419972482 3301.30429868925 0.004433
"92" 1.14914734957185 846 1815.64270319361 5852.63611105215 3375.08122332418 0.004232
"93" 1.14981553552891 851 1826.15133491853 5887.01586220886 3404.06646005455 0.004039
"94" 1.15058323240861 861 1846.73535087614 5955.34211703005 3461.93012780759 0.003856
"95" 1.15109602450705 867 1859.12523412526 5996.37734359731 3496.89672487608 0.00368
"96" 1.15183536694769 882 1889.68706124715 6098.55252901456 3584.58586429394 0.003513
"97" 1.1525064939927 898 1922.19673925191 6207.44978920105 3679.11077624865 0.003353
"98" 1.15247660382521 903 1932.17404589978 6241.2982152807 3708.69635275506 0.003201
"99" 1.15219421054656 902 1929.95961690756 6234.30956240213 3702.55156467688 0.003056
"100" 1.1522324494293 919 1963.98865582035 6349.500407383 3803.98865582035 0.002917
