"RSS" "Df" "AIC" "BIC" "AICc" "Lambda"
"1" 1.08162906626973 0 70.6597619275314 68.6597619275314 70.6597619275314 0.2917
"2" 1.0812588210551 2 74.3601952529321 81.9086430256473 74.373252924314 0.2784
"3" 1.0808506281102 2 74.0298060294164 81.5782538021317 74.0428637007984 0.2658
"4" 1.08038896096075 5 79.655984668795 101.527104100583 79.7212730257047 0.2537
"5" 1.07971956214444 10 89.1136748943033 134.855913757879 89.3530655363055 0.2421
"6" 1.07901956953756 11 90.5462199911155 141.062682741049 90.8334887615181 0.2311
"7" 1.07834468073193 13 93.9987670293623 154.063677552011 94.3948497279477 0.2206
"8" 1.07768121897871 15 97.4602493311585 167.073607626523 97.982556186436 0.2106
"9" 1.07705288861229 17 100.949941275739 180.111747343818 101.615882516218 0.201
"10" 1.07646859470308 18 102.475130889986 186.411160844423 103.219418158756 0.1919
"11" 1.07592812234773 21 108.035701376718 206.294402990228 109.041142073128 0.1832
"12" 1.07543134754157 22 109.631605297749 212.664530797616 110.732802250959 0.1749
"13" 1.07497252374794 25 115.258214205146 232.613811364086 116.672795271522 0.1669
"14" 1.07454563728074 27 118.910670583063 245.814715514719 120.555937177187 0.1593
"15" 1.0741532192502 29 122.591067136078 259.043559840448 124.484429486459 0.1521
"16" 1.07377741779473 31 126.284887531184 272.28582800827 128.443755866331 0.1452
"17" 1.07345651152026 34 132.023348265793 292.346960401952 134.613119756543 0.1386
"18" 1.07318013323748 34 131.798036730784 292.121648866943 134.387808221535 0.1323
"19" 1.07293421660282 35 133.59750961881 298.695345641326 136.339620609016 0.1263
"20" 1.07270973975414 36 135.414424962351 305.286484871225 138.313228009141 0.1205
"21" 1.07250403304018 39 141.246615695469 325.441347263416 144.641610254772 0.115
"22" 1.07232237387248 42 147.09839691971 345.61580014673 151.028756005673 0.1098
"23" 1.07216822580101 45 152.972605216274 365.812680102366 157.477501843042 0.1048
"24" 1.07205617598438 48 158.881156215363 386.043902760528 163.999763397082 0.1001
"25" 1.07198317956966 50 162.82157534737 399.532769665251 168.371085684694 0.09551
"26" 1.07193409517281 52 166.781509578272 413.041151668868 172.779333299708 0.09117
"27" 1.07188249779718 53 168.739390579997 419.773256556951 174.967899829181 0.08702
"28" 1.07171522358975 56 174.602830505935 439.959368141962 181.549511681126 0.08307
"29" 1.07141834706649 57 176.360412615541 446.491174137925 183.555189546989 0.07929
"30" 1.07106400975812 66 194.070986523739 507.169763023341 203.694490332226 0.07569
"31" 1.07047626415431 75 211.590699113305 567.657490590126 223.995486926145 0.07225
"32" 1.0698239154955 80 221.057311227286 600.995222135895 235.159596319778 0.06896
"33" 1.06925952019124 86 232.595575238455 641.17882946521 248.87849145173 0.06583
"34" 1.06875321465457 96 252.181155487207 708.506648577538 272.446661471973 0.06284
"35" 1.06820773480003 100 259.734451130524 735.156839766285 281.714864623451 0.05998
"36" 1.0674126114587 110 279.082899971606 802.247527470944 305.655261233847 0.05726
"37" 1.06674780170646 118 294.537759551567 855.896178141766 325.097063142427 0.05465
"38" 1.06635854142139 128 314.21841049116 923.319067944935 350.153122134251 0.05217
"39" 1.067120244599 146 350.843202556678 1045.87988996489 397.550493089866 0.0498
"40" 1.0689176769024 156 372.315792177731 1115.09471844952 425.617206758797 0.04753
